CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2,Dependent_count_t,Months_Inactive_12_mon_t,Contacts_Count_12_mon_t,Total_Revolving_Bal_t,Total_Amt_Chng_Q4_Q1_t,Total_Ct_Chng_Q4_Q1_t,Avg_Utilization_Ratio_t,Education_Level_t,Marital_Status_t,Income_Category_t
0,768805383,Existing Customer,45,M,3,High School,Married,$60K - $80K,Blue,39,5,1,3,12691.0,777,11914.0,1.335,1144,42,1.625,0.061,9.3448e-05,0.99991,3.0,1.0,3.0,777.0,1.335,1.625,0.061,High School,Married,$60K - $80K
1,826410708,Existing Customer,40,M,4,Unknown,Married,$60K - $80K,Blue,36,3,2,3,22956.0,1407,21549.0,0.709,5554,64,0.6,0.061,0.00022068,0.99978,4.0,2.0,3.0,1407.0,0.709,0.6,0.061,others,Married,$60K - $80K
2,720807183,Existing Customer,55,M,2,Graduate,Single,$80K - $120K,Blue,36,3,2,1,15026.0,916,14110.0,0.721,3281,63,0.8,0.061,6.864e-05,0.99993,2.0,2.0,1.0,916.0,0.721,0.8,0.061,Graduate,Single,$80K - $120K
3,708557358,Existing Customer,43,M,2,College,Married,$60K - $80K,Blue,28,4,2,3,22157.0,1355,20802.0,0.69,1911,55,0.571,0.061,0.00018612,0.99981,2.0,2.0,3.0,1355.0,0.69,0.571,0.061,College,Married,$60K - $80K
4,720454158,Existing Customer,44,M,2,Unknown,Single,$60K - $80K,Blue,30,6,2,2,9827.0,600,9227.0,0.477,2840,63,0.537,0.061,0.00012511,0.99987,2.0,2.0,2.0,600.0,0.477,0.537,0.061,others,Single,$60K - $80K
5,771749733,Existing Customer,41,M,2,Graduate,Single,$40K - $60K,Silver,30,5,2,3,17706.0,1081,16625.0,1.087,3680,81,0.723,0.061,0.00017297,0.99983,2.0,2.0,3.0,1081.0,1.087,0.723,0.061,Graduate,Single,$40K - $60K
6,806889633,Existing Customer,38,M,2,Uneducated,Married,$80K - $120K,Blue,33,3,1,4,20117.0,1226,18891.0,1.4,2906,58,1.0,0.061,0.00016249,0.99984,2.0,1.0,4.0,1226.0,1.4,1.0,0.061,Uneducated,Married,$80K - $120K
7,716340783,Existing Customer,48,M,4,High School,Married,$80K - $120K,Blue,36,1,1,2,21526.0,1320,20206.0,0.762,14441,105,0.875,0.061,5.6153e-05,0.99994,4.0,1.0,2.0,1320.0,0.762,0.875,0.061,High School,Married,$80K - $120K
8,711989358,Existing Customer,50,M,2,Graduate,Single,$80K - $120K,Blue,36,4,2,1,19595.0,1187,18408.0,0.875,3811,62,0.824,0.061,6.864e-05,0.99993,2.0,2.0,1.0,1187.0,0.875,0.824,0.061,Graduate,Single,$80K - $120K
9,821836008,Existing Customer,57,M,2,Uneducated,Single,$80K - $120K,Blue,53,5,2,4,34516.0,2099,32417.0,0.629,1233,26,0.857,0.061,0.00033577,0.99966,2.0,2.0,4.0,2099.0,0.629,0.857,0.061,Uneducated,Single,$80K - $120K
10,720409608,Existing Customer,45,M,3,High School,Married,$120K +,Blue,35,6,2,3,32446.0,1974,30472.0,0.621,1717,39,0.696,0.061,0.00019311,0.99981,3.0,2.0,3.0,1974.0,0.621,0.696,0.061,High School,Married,$120K +
11,711835758,Existing Customer,50,M,3,Graduate,Married,$120K +,Blue,42,4,5,3,34516.0,2099,32417.0,0.449,1756,35,0.25,0.061,0.0003506,0.99965,3.0,5.0,3.0,2099.0,0.449,0.25,0.061,Graduate,Married,$120K +
12,825743583,Existing Customer,39,F,2,Graduate,Single,Unknown,Silver,35,1,3,3,32089.0,1971,30118.0,0.671,13796,121,0.833,0.061,0.00027334,0.99973,2.0,3.0,3.0,1971.0,0.671,0.833,0.061,Graduate,Single,others
13,790174608,Existing Customer,37,M,1,Doctorate,Single,$80K - $120K,Blue,30,6,3,2,19300.0,1181,18119.0,0.764,2660,70,0.795,0.061,0.00024431,0.99976,1.0,3.0,2.0,1181.0,0.764,0.795,0.061,Doctorate,Single,$80K - $120K
14,719658858,Existing Customer,50,F,4,Doctorate,Married,Unknown,Silver,36,3,2,1,34516.0,2096,32420.0,0.666,7042,73,0.553,0.061,9.4127e-05,0.99991,4.0,2.0,1.0,2096.0,0.666,0.553,0.061,Doctorate,Married,others
15,778643733,Attrited Customer,48,F,1,Uneducated,Single,$40K - $60K,Gold,28,3,2,1,23981.0,1454,22527.0,0.925,9140,64,0.684,0.061,0.98707,0.01293,1.0,2.0,1.0,1454.0,0.925,0.684,0.061,Uneducated,Single,$40K - $60K
16,789289383,Existing Customer,42,M,3,Graduate,Single,$80K - $120K,Silver,31,2,2,3,34516.0,2120,32396.0,0.9,14626,97,0.644,0.061,0.00017949,0.99982,3.0,2.0,3.0,2120.0,0.9,0.644,0.061,Graduate,Single,$80K - $120K
17,715199808,Existing Customer,39,F,3,Graduate,Unknown,Unknown,Silver,30,6,3,5,33905.0,2070,31835.0,0.685,15335,99,0.768,0.061,0.00083696,0.99916,3.0,3.0,5.0,2070.0,0.685,0.768,0.061,Graduate,others,others
18,712003083,Existing Customer,55,M,1,Graduate,Married,$80K - $120K,Blue,36,3,2,4,34516.0,2102,32414.0,0.912,1612,33,0.737,0.061,0.00030653,0.99969,1.0,2.0,4.0,2102.0,0.912,0.737,0.061,Graduate,Married,$80K - $120K
19,780707733,Existing Customer,41,M,1,Graduate,Married,$80K - $120K,Blue,30,3,3,2,34516.0,2109,32407.0,0.703,6832,87,0.706,0.061,0.00016883,0.99983,1.0,3.0,2.0,2109.0,0.703,0.706,0.061,Graduate,Married,$80K - $120K
20,717643608,Existing Customer,48,M,4,College,Married,$80K - $120K,Blue,36,3,3,2,26443.0,1601,24842.0,0.493,1593,36,0.333,0.061,0.0001834,0.99982,4.0,3.0,2.0,1601.0,0.493,0.333,0.061,College,Married,$80K - $120K
21,719816583,Attrited Customer,46,M,3,Doctorate,Married,$120K +,Blue,38,3,2,2,8989.0,552,8437.0,0.699,2309,49,0.633,0.061,0.99418,0.00582,3.0,2.0,2.0,552.0,0.699,0.633,0.061,Doctorate,Married,$120K +
22,708573933,Existing Customer,45,F,2,Unknown,Single,Less than $40K,Silver,36,2,2,3,13026.0,789,12237.0,0.74,14747,100,0.724,0.061,0.00019013,0.99981,2.0,2.0,3.0,789.0,0.74,0.724,0.061,others,Single,Less than $40K
23,788959758,Existing Customer,47,F,4,Uneducated,Single,$40K - $60K,Blue,33,3,2,1,9148.0,561,8587.0,0.774,3451,59,0.967,0.061,7.4017e-05,0.99993,4.0,2.0,1.0,561.0,0.774,0.967,0.061,Uneducated,Single,$40K - $60K
24,717521508,Existing Customer,41,M,3,High School,Single,$80K - $120K,Gold,28,2,2,0,34516.0,2098,32418.0,0.746,6932,87,0.526,0.061,4.8796e-05,0.99995,3.0,2.0,2.0,2098.0,0.746,0.526,0.061,High School,Single,$80K - $120K
25,779852133,Existing Customer,48,M,2,Unknown,Married,$120K +,Silver,32,3,2,4,34516.0,2098,32418.0,0.741,3093,66,0.784,0.061,0.00032434,0.99968,2.0,2.0,4.0,2098.0,0.741,0.784,0.061,others,Married,$120K +
26,712833633,Existing Customer,41,M,2,Post-Graduate,Married,$40K - $60K,Blue,36,2,1,3,10688.0,653,10035.0,0.682,13866,98,0.508,0.061,0.000109,0.99989,2.0,1.0,3.0,653.0,0.682,0.508,0.061,Post-Graduate,Married,$40K - $60K
27,718561458,Existing Customer,54,M,1,High School,Married,$60K - $80K,Blue,36,4,1,4,20050.0,1225,18825.0,0.907,1306,26,0.238,0.061,0.00014421,0.99986,1.0,1.0,4.0,1225.0,0.907,0.238,0.061,High School,Married,$60K - $80K
28,827332983,Existing Customer,46,M,3,High School,Single,$80K - $120K,Gold,42,3,2,2,34516.0,2113,32403.0,0.618,1362,31,1.214,0.061,0.00013228,0.99987,3.0,2.0,2.0,2113.0,0.618,1.214,0.061,High School,Single,$80K - $120K
29,753327333,Existing Customer,41,M,3,Unknown,Married,$80K - $120K,Blue,34,4,4,1,13535.0,1291,12244.0,0.653,1028,21,1.625,0.095,0.00014953,0.99985,3.0,4.0,1.0,1291.0,0.653,1.625,0.095,others,Married,$80K - $120K
30,742572558,Existing Customer,32,F,0,High School,Divorced,Unknown,Blue,25,5,3,1,12268.0,1165,11103.0,0.832,4905,82,0.822,0.095,9.0493e-05,0.99991,2.0,3.0,1.0,1165.0,0.832,0.822,0.095,High School,Divorced,others
31,712208658,Existing Customer,43,M,2,High School,Single,$60K - $80K,Blue,33,1,2,1,13165.0,1255,11910.0,0.81,8126,95,0.667,0.095,6.6728e-05,0.99993,2.0,2.0,1.0,1255.0,0.81,0.667,0.095,High School,Single,$60K - $80K
32,716869458,Existing Customer,34,F,3,College,Single,Less than $40K,Blue,36,3,6,1,7440.0,704,6736.0,0.551,2251,63,0.537,0.095,8.6389e-05,0.99991,3.0,6.0,1.0,704.0,0.551,0.537,0.095,College,Single,Less than $40K
33,807141183,Existing Customer,34,M,1,Graduate,Married,$120K +,Blue,29,4,3,2,14938.0,1412,13526.0,0.677,1930,36,0.636,0.095,0.00016883,0.99983,1.0,3.0,2.0,1412.0,0.677,0.636,0.095,Graduate,Married,$120K +
